cycle	timestamp	hypothesis	result	before	after	gain	next
1	2026-04-10 16:02 EDT	M2.1 baseline measurement + .1fq FIFO fix	win	~194s (extrapolated)	123.1s (measured)	first actual measurement; 36% below extrapolation; 3.1s above target	Test .1fq temp-file decode path; close 3.1s gap to ≤120s target
2	2026-04-10 17:32 EDT	Fix .1fq R2 corruption + parallelize decode	win	144.3s (30s decode, R2 corruption)	117.9s (7.6s decode, mapping 86.4%)	-18% wall time, M2.1 target met (<=120s)	STAR alignment optimization: S2 Adaptive Reference Priority or S3 K-mer Pre-screening
3	2026-04-10 18:47 EDT	PGO for singlify integrated binary + .1fq re-encoding	dead_end	117.9s	~120s	PGO blocked by fork+OpenMP crash	B-track: try downloading corpus samples via prefetch/fastq-dump for M1 expansion; S7 interleaved multi-read SA search
4	2026-04-10 19:14 EDT	Dense accumulator CSC + corpus expansion B-track (C03/C04)	win	CSC=3.79s, M1=1/13, M4=1 protocol	CSC=1.09s, M1 encode+decode=3/13 (C01+C03+C04)	CSC 3.5x faster, pipeline internal ~117s, 2 new encode+decode validated	Add decode subcommand for M1 testing; fix Drop-seq protocol detection; download v2 whitelist
5	2026-04-10 19:21 EDT	Decode subcommand + v2 whitelist + M1/M4 expansion	win	No decode cmd, no v2 whitelist, M4=1 protocol	Decode subcommand added, v2 whitelist downloaded, M4=2 protocols	Unblocked M1 testing for all protocols; C03 10xv2 pipeline passes end-to-end	Fix Drop-seq protocol detection for C04; start STAR S2 (Adaptive Reference Priority); test more corpus samples
6	2026-04-10 19:33 EDT	M1/M4 corpus expansion: C06 sci-RNA-seq3 + C07 ddSEQ downloads	win	M1=3 encode+decode, M4=2 pipelines	M1=4 encode+decode (added C06 sci-RNA-seq3), C07 ddSEQ downloading (60%)	C06 sci-RNA-seq3 48M reads encoded+decoded+CRC verified. C07 discovered to be ddSEQ not 10xv3_5prime (new protocol family)	Test C07 ddSEQ decode when done; investigate C04 Drop-seq protocol detection; start STAR S2 for A-track
7	2026-04-10 19:39 EDT	C07 ddSEQ validation + protocol name fix	win	M1=4 encode+decode	M1=5 encode+decode (C01 arc-gex, C03 10xv2, C04 Drop-seq, C06 sci-RNA-seq3, C07 ddSEQ)	5th protocol validated (ddSEQ/Bio-Rad); decode shows correct protocol names for all 24 specs	Fix Drop-seq protocol detection; get whitelists for sci-RNA-seq3 and ddSEQ; investigate STAR S2
8	2026-04-10 20:08 EDT	--max-reads + --whitelist None for M4 expansion	win	M4=2/8 protocol families	M4=5/8 protocol families (10x-v2, v3, v4, 5p, Drop-seq)	M4: 2→5 families, +3 new pipeline passes	Cycle 9: inDrop/sci-RNA-seq3/BD Rhapsody for M4=8/8, or manuscript update
9	2026-04-10 20:36 EDT	CB_UMI_Complex→CB_samTagOut fallback for complex barcode protocols	win	5 protocol families (M4=5/8)	7 protocol families (M4=7/8)	2 new families: sci-RNA-seq3, BD Rhapsody/ddSEQ	Fix inDrop R1/R2 swap for M4=8/8, then manuscript update
10	2026-04-10 20:50 EDT	Inverted R1/R2 detection for inDrop and similar protocols	win	7 protocol families (M4=7/8)	8 protocol families (M4=8/8)	M4.1 TARGET MET: 8/8 protocol families	STAR optimization (S2: Adaptive Reference Priority) or additional corpus testing
13	2026-04-10 21:32 EDT	S2 genome page access profiling	dead_end	S2 untested (assumed concentrated)	S2 ceiling 3pct total (L3 covers 15pct of accesses)	Critical negative result: gene expression concentration does NOT predict SA binary search access concentration	S7 interleaved multi-read binary search OR B-track corpus expansion
13	2026-04-10 21:32 EDT	S2 genome page access profiling	dead_end	S2 untested	S2 ceiling 3pct	L3 covers only 15pct of SA accesses	S7 or corpus expansion
14	2026-04-10 21:43 EDT	STAR parameter tuning + C09 multiome corpus	dead_end	outFilterMultimapNmax=10	Nmax=1 gives 2.1pct (noise)	Parameter tuning exhausted. C09 multiome CB_UMI_Complex needs investigation.	S7 interleaved binary search design or pileup/format optimization
15	2026-04-10 21:51 EDT	Increase decode threads for M2.1 safety	win	decode 7.6s (8T), internal 117s	decode 5.9s (16T), internal 114.4-115.6s	-1.7s decode, small pipeline improvement	S7 interleaved binary search or manuscript update
16	2026-04-10 22:07 EDT	Barcode auto-discovery for --whitelist None protocols	win	manual --barcodes required	automatic barcode extraction from decoded reads	enables fully automatic pipeline for Drop-seq/inDrop/complex protocols	Re-encode corrupt .1fq files (SRR25447463), test more corpus samples for M1/M4 expansion
17	2026-04-10 22:44 EDT	Expand pipeline coverage: test untested .1fq samples and fix CB_UMI_Complex discovery	win	CB_UMI_Complex protocols had 0 barcoded reads, C04 failed	All tested samples produce data: 9/9 pipeline passes	Fixed CB_UMI_Complex barcode position discovery, C04/C06/C07 now produce real output	Investigate wrong_strand issue for C10/C07, explore S7 interleaved binary search
18	2026-04-10 22:56 EDT	Add --reverse-strand for 5-prime protocol strand orientation	win	5-prime protocols had 55-64 percent wrong_strand	reverse-strand flag and auto-detection for 5-prime protocols	C10 exon hits: 25K to 115K with reverse-strand	Update manuscript, explore S7 interleaved binary search design, or test M2.1 regression
19	2026-04-10 23:02 EDT	M2.1 regression test after PileupEngine refactoring	win	M2.1 internal 114.4-115.6s	M2.1 internal 114.3-115.1s	No regression confirmed	Start S7 interleaved binary search design, or continue corpus expansion
20	2026-04-10 23:10 EDT	C11 mouse sample download and cross-species pipeline test	dead_end	no mouse .1fq available	C11 downloaded (5M reads) but 99.85pct unmapped to GRCm39	Identified C11 SRR34789664 as bad sample for corpus (non-mapping reads)	Replace C11 with different mouse SRR, or start S7 interleaved binary search design
22	2026-04-10 23:53 EDT	PGO for singlify integrated binary via star_pgo_trainer	dead_end	118.8s wall (c001, non-PGO, 16T)	119.1s wall (c001, PGO star_objects, 16T)	0% wall at 16T (−5% CPU); −3.4% wall at 8T	Cycle 23: assess remaining STAR opportunities vs .1fq compression
23	2026-04-11 00:34 EDT	Wrong-strand diagnostic warning	win	no warning	91% wrong-strand warning on SRR20020820	UX improvement	Cycle 24: explore early wrong-strand auto-flip or additional M3.1 validation
24	2026-04-11 00:50 EDT	Auto-detect 5-prime strand + fix intron reverse_strand	win	131K exon hits on 5-prime sample	1.4M exon hits with auto-flip	10.6x exon recovery for 5-prime	Cycle 25: manuscript update, test additional corpus samples, or .1fq compression
252026-04-11 00:57 EDTCorpus C12 + auto-strand validationwin11 validated12 validated1 new corpus sampleCycle 26: compression or protocol testing
25	2026-04-11 00:57 EDT	Corpus C12 plus auto-strand validation	win	11 validated	12 validated	1 new corpus sample	Cycle 26: compression or protocol testing
26	2026-04-11 01:01 EDT	Enhanced stats JSON + C12 corpus + .1fq analysis	win	basic pileup_stats.json	enhanced with strand/barcode/timing	batch QC ready	Cycle 27: .1fq per-column compression or additional protocol coverage
27	2026-04-11 01:25 EDT	Bump default zstd compression level from 3 to 4	win	1098 MB (40M reads, zstd-3)	1043 MB (40M reads, zstd-4)	-5.1% file size, +7% encode time	Investigate per-column codec selection (F3) or begin M4.3 graceful failure testing
27	2026-04-11 01:25 EDT	Bump default zstd compression level from 3 to 4	win	1098 MB (40M reads, zstd-3)	1043 MB (40M reads, zstd-4)	-5.1pct file size, +7pct encode time	F3 per-column codec selection or M4.3 graceful failure testing
28	2026-04-11 01:29 EDT	M4.3 graceful failure testing + fix	win	SIGABRT (exit 134) on bad inputs	Clean EXIT=1 with error message	10/10 failure scenarios handled	Manuscript update, then continue F-track or start M4.4 batch prep
29	2026-04-11 01:31 EDT	Manuscript update + M4.3 documentation	win	Manuscript missing cycles 27-28 results	Manuscript updated with auto-strand, zstd-4, M4.3	21-page manuscript current	M4.4 batch preparation or further F-track compression
32	2026-04-11 02:04 EDT	M4.4 batch testing: empty R2 guard + 26-sample survey	win	2/5 pilot PASS, 2 STAR crashes on empty R2	18/26 PASS (69%), empty R2 guard catches misclassified samples	STAR crash→clean EXIT=1 for empty R2; 69% pass rate established	Protocol detection improvement or F-track compression
